DATA_HORA,IDVENDA,UF,CHAVE,CSTAT,SUBPASTA,ARQUIVO
2025-10-14 23:38:00,5-3-70960,DF,53251036769602000589650030000709602516154213,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\5-3-70960.xml
2025-10-14 23:38:00,69-3-59507,GO,52251036769602006943650030000595072870270540,ERRO,python_notas\resultados\ERRO-GO,python_notas\resultados\ERRO-GO\69-3-59507.xml
2025-10-14 23:38:00,47-1-32771,DF,53251036769602004738650010000327712768607885,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\47-1-32771.xml
2025-10-14 23:38:00,11-3-64346,DF,53251036769602001127650030000643462620413901,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\11-3-64346.xml
2025-10-14 23:38:00,5-3-70987,DF,53251036769602000589650030000709872026499145,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\5-3-70987.xml
2025-10-14 23:38:00,5-3-70988,DF,53251036769602000589650030000709882140909532,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\5-3-70988.xml
2025-10-14 23:38:00,11-3-64354,DF,53251036769602001127650030000643542960500705,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\11-3-64354.xml
2025-10-14 23:38:00,2-9-12817,DF,53251036769602000236650090000128172135343364,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\2-9-12817.xml
2025-10-14 23:38:00,108-1-25212,DF,53251036769602010894650010000252122312964929,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\108-1-25212.xml
2025-10-14 23:38:00,7-4-60593,DF,53251036769602000740650040000605932576602686,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\7-4-60593.xml
2025-10-14 23:38:00,2-9-12850,DF,53251036769602000236650090000128502218897779,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\2-9-12850.xml
2025-10-14 23:38:01,26-3-44056,DF,53251036769602002603650030000440562732275057,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\26-3-44056.xml
2025-10-14 23:38:01,5-3-71020,DF,53251036769602000589650030000710202880051980,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\5-3-71020.xml
2025-10-14 23:38:01,62-2-85216,DF,53251036769602006277650020000852162918827334,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\62-2-85216.xml
2025-10-14 23:38:01,116-4-11879,DF,53251036769602011602650040000118792896344067,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\116-4-11879.xml
2025-10-14 23:38:01,26-2-49516,DF,53251036769602002603650020000495162288090191,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\26-2-49516.xml
2025-10-14 23:38:01,118-2-13219,DF,53251036769602011866650020000132192939597898,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\118-2-13219.xml
2025-10-14 23:38:01,19-2-44891,DF,53251036769602001984650020000448912750408690,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\19-2-44891.xml
2025-10-14 23:38:01,11-3-64409,DF,53251036769602001127650030000644092409873592,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\11-3-64409.xml
2025-10-14 23:38:01,9-4-61926,DF,53251036769602000902650040000619262819961936,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\9-4-61926.xml
2025-10-14 23:38:01,2-4-51552,DF,53251036769602000236650040000515522889010235,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\2-4-51552.xml
2025-10-14 23:38:01,3-2-23478,DF,53251036769602000317650020000234782612611329,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\3-2-23478.xml
2025-10-14 23:38:01,57-4-55121,DF,53251036769602005700650040000551212077943647,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\57-4-55121.xml
2025-10-14 23:38:01,18-4-34339,DF,53251036769602001801650040000343392136563032,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\18-4-34339.xml
2025-10-14 23:38:01,13-3-59996,DF,53251036769602001399650030000599962603393433,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\13-3-59996.xml
2025-10-14 23:38:01,122-3-12173,DF,53251036769602012242650030000121732955456195,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\122-3-12173.xml
2025-10-14 23:38:01,122-3-12201,DF,53251036769602012242650030000122012970570439,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\122-3-12201.xml
2025-10-14 23:38:01,14-3-64099,DF,53251036769602001470650030000640992731299330,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\14-3-64099.xml
2025-10-14 23:38:01,8-3-105241,DF,53251036769602000821650030001052412045235507,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\8-3-105241.xml
2025-10-14 23:38:01,8-3-105324,DF,53251036769602000821650030001053242003704481,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\8-3-105324.xml
2025-10-14 23:38:01,5-2-53151,DF,53251036769602000589650020000531512043439361,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\5-2-53151.xml
2025-10-14 23:38:01,126-3-181,MG,31251036769602012404650030000001812380062037,ERRO,python_notas\resultados\ERRO-MG,python_notas\resultados\ERRO-MG\126-3-181.xml
2025-10-14 23:38:01,126-3-220,MG,31251036769602012404650030000002202129551766,ERRO,python_notas\resultados\ERRO-MG,python_notas\resultados\ERRO-MG\126-3-220.xml
2025-10-14 23:38:02,63-3-53321,DF,53251036769602006358650030000533212664923684,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\63-3-53321.xml
2025-10-14 23:38:02,29-2-54635,DF,53251036769602002956650020000546352300822347,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\29-2-54635.xml
2025-10-14 23:38:02,70-2-75403,GO,52251036769602007087650020000754032205431266,ERRO,python_notas\resultados\ERRO-GO,python_notas\resultados\ERRO-GO\70-2-75403.xml
2025-10-14 23:38:02,126-1-113,MG,31251036769602012404650010000001132270853835,ERRO,python_notas\resultados\ERRO-MG,python_notas\resultados\ERRO-MG\126-1-113.xml
2025-10-14 23:38:02,45-3-73015,DF,53251036769602004576650030000730152285620410,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\45-3-73015.xml
2025-10-14 23:38:02,45-2-81112,DF,53251036769602004576650020000811122789873836,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\45-2-81112.xml
2025-10-14 23:38:02,9-3-65583,DF,53251036769602000902650030000655832386566900,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\9-3-65583.xml
2025-10-14 23:38:02,45-2-81111,DF,53251036769602004576650020000811112491106330,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\45-2-81111.xml
2025-10-14 23:38:02,70-2-75427,GO,52251036769602007087650020000754272944880100,ERRO,python_notas\resultados\ERRO-GO,python_notas\resultados\ERRO-GO\70-2-75427.xml
2025-10-14 23:38:02,45-2-81117,DF,53251036769602004576650020000811172971856689,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\45-2-81117.xml
2025-10-14 23:38:02,45-2-81119,DF,53251036769602004576650020000811192892722188,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\45-2-81119.xml
2025-10-14 23:38:02,126-1-115,MG,31251036769602012404650010000001152463461143,ERRO,python_notas\resultados\ERRO-MG,python_notas\resultados\ERRO-MG\126-1-115.xml
2025-10-14 23:38:02,5-3-71092,DF,53251036769602000589650030000710922156438079,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\5-3-71092.xml
2025-10-14 23:38:02,8-2-228883,DF,53251036769602000821650020002288832395397050,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\8-2-228883.xml
2025-10-14 23:38:02,13-2-58916,DF,53251036769602001399650020000589162456122420,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\13-2-58916.xml
2025-10-14 23:38:02,14-5-15732,DF,53251036769602001470650050000157322312810573,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\14-5-15732.xml
2025-10-14 23:38:02,28-4-92115,DF,53251036769602002875650040000921152982630575,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\28-4-92115.xml
2025-10-14 23:38:02,122-2-10700,DF,53251036769602012242650020000107002728827789,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\122-2-10700.xml
2025-10-14 23:38:02,29-2-54721,DF,53251036769602002956650020000547212909283342,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\29-2-54721.xml
2025-10-14 23:38:02,108-1-25204,DF,53251036769602010894650010000252042728567644,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\108-1-25204.xml
2025-10-14 23:38:02,108-1-25242,DF,53251036769602010894650010000252422286791081,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\108-1-25242.xml
2025-10-14 23:38:03,108-3-32543,DF,53251036769602010894650030000325432370311873,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\108-3-32543.xml
2025-10-14 23:38:03,11-3-64353,DF,53251036769602001127650030000643532559412682,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\11-3-64353.xml
2025-10-14 23:38:03,11-3-64377,DF,53251036769602001127650030000643772948640033,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\11-3-64377.xml
2025-10-14 23:38:03,110-2-31465,DF,53251036769602011009650020000314652762390818,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\110-2-31465.xml
2025-10-14 23:38:03,116-2-2754,DF,53251036769602011602650020000027542719564432,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\116-2-2754.xml
2025-10-14 23:38:03,116-4-11845,DF,53251036769602011602650040000118452155906809,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\116-4-11845.xml
2025-10-14 23:38:03,116-4-11850,DF,53251036769602011602650040000118502149455779,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\116-4-11850.xml
2025-10-14 23:38:03,118-2-13227,DF,53251036769602011866650020000132272538658120,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\118-2-13227.xml
2025-10-14 23:38:03,118-2-13256,DF,53251036769602011866650020000132562516180997,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\118-2-13256.xml
2025-10-14 23:38:03,122-3-12174,DF,53251036769602012242650030000121742446089388,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\122-3-12174.xml
2025-10-14 23:38:03,122-3-12178,DF,53251036769602012242650030000121782208559017,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\122-3-12178.xml
2025-10-14 23:38:03,122-3-12192,DF,53251036769602012242650030000121922986239639,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\122-3-12192.xml
2025-10-14 23:38:03,14-3-64101,DF,53251036769602001470650030000641012252008069,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\14-3-64101.xml
2025-10-14 23:38:03,15-4-71109,DF,53251036769602001550650040000711092112389510,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\15-4-71109.xml
2025-10-14 23:38:03,15-5-47970,DF,53251036769602001550650050000479702379101771,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\15-5-47970.xml
2025-10-14 23:38:03,16-2-62891,DF,53251036769602001631650020000628912052551765,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\16-2-62891.xml
2025-10-14 23:38:03,17-3-626910,DF,53251036769602001712650030006269102215298113,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\17-3-626910.xml
2025-10-14 23:38:03,2-4-51568,DF,53251036769602000236650040000515682022863533,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\2-4-51568.xml
2025-10-14 23:38:03,2-9-12821,DF,53251036769602000236650090000128212471594655,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\2-9-12821.xml
2025-10-14 23:38:03,26-2-49535,DF,53251036769602002603650020000495352293396584,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\26-2-49535.xml
2025-10-14 23:38:03,47-1-32764,DF,53251036769602004738650010000327642216594746,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\47-1-32764.xml
2025-10-14 23:38:03,47-1-32800,DF,53251036769602004738650010000328002728082122,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\47-1-32800.xml
2025-10-14 23:38:03,47-1-32830,DF,53251036769602004738650010000328302644808725,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\47-1-32830.xml
2025-10-14 23:38:03,5-3-70967,DF,53251036769602000589650030000709672870300598,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\5-3-70967.xml
2025-10-14 23:38:03,5-3-70989,DF,53251036769602000589650030000709892315710184,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\5-3-70989.xml
2025-10-14 23:38:03,56-2-34255,DF,53251036769602005629650020000342552182544719,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\56-2-34255.xml
2025-10-14 23:38:03,57-4-55128,DF,53251036769602005700650040000551282462552610,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\57-4-55128.xml
2025-10-14 23:38:04,62-3-74914,DF,53251036769602006277650030000749142402187970,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\62-3-74914.xml
2025-10-14 23:38:04,62-5-1678,DF,53251036769602006277650050000016782575983705,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\62-5-1678.xml
2025-10-14 23:38:04,7-4-60630,DF,53251036769602000740650040000606302388801710,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\7-4-60630.xml
2025-10-14 23:38:04,8-3-105249,DF,53251036769602000821650030001052492056236702,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\8-3-105249.xml
2025-10-14 23:38:04,8-3-105271,DF,53251036769602000821650030001052712828559069,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\8-3-105271.xml
2025-10-14 23:38:04,9-4-61978,DF,53251036769602000902650040000619782144141363,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\9-4-61978.xml
2025-10-14 23:38:04,116-2-2762,DF,53251036769602011602650020000027622988343259,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\116-2-2762.xml
2025-10-14 23:38:04,17-4-4868,DF,53251036769602001712650040000048682350999467,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\17-4-4868.xml
2025-10-14 23:38:04,34-2-36096,GO,52251036769602003413650020000360962862329740,ERRO,python_notas\resultados\ERRO-GO,python_notas\resultados\ERRO-GO\34-2-36096.xml
2025-10-14 23:38:04,76-3-60790,GO,52251036769602007672650030000607902159029020,ERRO,python_notas\resultados\ERRO-GO,python_notas\resultados\ERRO-GO\76-3-60790.xml
2025-10-14 23:38:04,117-4-3652,GO,52251036769602011785650040000036522120864590,ERRO,python_notas\resultados\ERRO-GO,python_notas\resultados\ERRO-GO\117-4-3652.xml
2025-10-14 23:38:04,43-3-1839,GO,52251036769602004304650030000018392504919790,ERRO,python_notas\resultados\ERRO-GO,python_notas\resultados\ERRO-GO\43-3-1839.xml
2025-10-14 23:38:04,115-2-6644,GO,52251036769602011513650020000066442255149558,ERRO,python_notas\resultados\ERRO-GO,python_notas\resultados\ERRO-GO\115-2-6644.xml
2025-10-14 23:38:04,121-1-4809,GO,52251036769602012161650010000048092553659539,ERRO,python_notas\resultados\ERRO-GO,python_notas\resultados\ERRO-GO\121-1-4809.xml
2025-10-14 23:38:04,115-1-12762,GO,52251036769602011513650010000127622686196957,ERRO,python_notas\resultados\ERRO-GO,python_notas\resultados\ERRO-GO\115-1-12762.xml
2025-10-14 23:38:05,32-3-45248,GO,52251036769602003251650030000452482767976010,ERRO,python_notas\resultados\ERRO-GO,python_notas\resultados\ERRO-GO\32-3-45248.xml
2025-10-14 23:38:05,67-4-66899,GO,52251036769602006781650000000668991500186605,ERRO,python_notas\resultados\ERRO-GO,python_notas\resultados\ERRO-GO\67-4-66899.xml
2025-10-14 23:38:05,16-3-11813,DF,53251036769602001631650030000118132011590550,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\16-3-11813.xml
2025-10-14 23:38:05,45-1-23361,DF,53251036769602004576650010000233612921362135,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\45-1-23361.xml
2025-10-14 23:38:05,26-3-44135,DF,53251036769602002603650030000441352651383424,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\26-3-44135.xml
2025-10-14 23:38:05,13-2-58954,DF,53251036769602001399650020000589542468432781,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\13-2-58954.xml
2025-10-14 23:38:05,2-3-60412,DF,53251036769602000236650030000604122230038479,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\2-3-60412.xml
2025-10-14 23:38:05,16-3-11829,DF,53251036769602001631650030000118292443374524,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\16-3-11829.xml
2025-10-14 23:38:05,2-3-60415,DF,53251036769602000236650030000604152261412366,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\2-3-60415.xml
2025-10-14 23:38:05,16-3-11837,DF,53251036769602001631650030000118372788873110,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\16-3-11837.xml
2025-10-14 23:38:05,5-2-53220,DF,53251036769602000589650020000532202425656441,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\5-2-53220.xml
2025-10-14 23:38:05,2-3-60396,DF,53251036769602000236650030000603962110195598,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\2-3-60396.xml
2025-10-14 23:38:05,1-5-92934,DF,53251036769602000155650050000929342870254763,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\1-5-92934.xml
2025-10-14 23:38:05,2-9-12869,DF,53251036769602000236650090000128692174592902,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\2-9-12869.xml
2025-10-14 23:38:05,2-3-60359,DF,53251036769602000236650030000603592851558244,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\2-3-60359.xml
2025-10-14 23:38:05,5-3-70986,DF,53251036769602000589650030000709862808598185,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\5-3-70986.xml
2025-10-14 23:38:05,5-2-53175,DF,53251036769602000589650020000531752206374591,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\5-2-53175.xml
2025-10-14 23:38:05,8-3-105303,DF,53251036769602000821650030001053032860807558,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\8-3-105303.xml
2025-10-14 23:38:05,9-4-61965,DF,53251036769602000902650040000619652514815110,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\9-4-61965.xml
2025-10-14 23:38:05,13-3-59984,DF,53251036769602001399650030000599842081039322,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\13-3-59984.xml
2025-10-14 23:38:05,14-3-64108,DF,53251036769602001470650030000641082000889649,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\14-3-64108.xml
2025-10-14 23:38:05,15-5-47962,DF,53251036769602001550650050000479622440992918,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\15-5-47962.xml
2025-10-14 23:38:05,118-2-13230,DF,53251036769602011866650020000132302268601290,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\118-2-13230.xml
2025-10-14 23:38:05,126-5-107,MG,31251036769602012404650050000001072860609302,ERRO,python_notas\resultados\ERRO-MG,python_notas\resultados\ERRO-MG\126-5-107.xml
2025-10-14 23:38:05,126-2-129,MG,31251036769602012404650020000001292262341991,ERRO,python_notas\resultados\ERRO-MG,python_notas\resultados\ERRO-MG\126-2-129.xml
2025-10-14 23:38:06,44-5-2141,DF,53251036769602004495650050000021411383333471,200,python_notas\resultados\200-DF,python_notas\resultados\200-DF\44-5-2141.xml
